#  Space group look-up table taken from R. Grosse Kunstleve web-site
#  Modified LJF - Jan 1998
#
# No.   Schoenflies <------ Hermann-Mauguin -----> Hall           Mult
#    set
  13:b2     C2h^4   P2/n:b2 = P12/n1    P 2/n      -P 2yac          4
  13:b3     C2h^4   P2/a:b3 = P12/a1    P 2/a      -P 2ya           4
  13:c1     C2h^4   P2/a:c1 = P112/a    P 1 1 2/a  -P 2a            4
  13:c2     C2h^4   P2/n:c2 = P112/n    P 1 1 2/n  -P 2ab           4
  13:c3     C2h^4   P2/b:c3 = P112/b    P 1 1 2/b  -P 2b            4
  13:a1     C2h^4   P2/b:a1 = P2/b11    P 2/b 1 1  -P 2xb           4
  13:a2     C2h^4   P2/n:a2 = P2/n11    P 2/n 1 1  -P 2xbc          4
  13:a3     C2h^4   P2/c:a3 = P2/c11    P 2/c 1 1  -P 2xc           4
  14:b1     C2h^5   P21/c:b1 = P121/c1  P 21/c     -P 2ybc          4
  14:b2     C2h^5   P21/n:b2 = P121/n1  P 21/n     -P 2yn           4
  14:b3     C2h^5   P21/a:b3 = P121/a1  P 21/a     -P 2yab          4
  14:c1     C2h^5   P21/a:c1 = P1121/a  P 1 1 21/a -P 2ac           4
  14:c2     C2h^5   P21/n:c2 = P1121/n  P 1 1 21/n -P 2n            4
  14:c3     C2h^5   P21/b:c3 = P1121/b  P 1 1 21/b -P 2bc           4
  14:a1     C2h^5   P21/b:a1 = P21/b11  P 21/b 1 1 -P 2xab          4
  14:a2     C2h^5   P21/n:a2 = P21/n11  P 21/n 1 1 -P 2xn           4
  14:a3     C2h^5   P21/c:a3 = P21/c11  P 21/c 1 1 -P 2xac          4
  15:b1     C2h^6   C2/c:b1 = C12/c1    C 2/c      -C 2yc           8
  15:b2     C2h^6   A2/n:b2 = A12/n1    A 2/n      -A 2yac          8
  15:b3     C2h^6   I2/a:b3 = I12/a1    I 2/a      -I 2ya           8
  15:-b1    C2h^6   A2/a:-b1 = A12/a1   A 2/a      -A 2ya           8
  15:-b2    C2h^6   C2/n:-b2 = C12/n1   C 2/n      -C 2ybc          8
  15:-b3    C2h^6   I2/c:-b3 = I12/c1   I 2/c      -I 2yc           8
  15:c1     C2h^6   A2/a:c1 = A112/a    A 1 1 2/a  -A 2a            8
  15:c2     C2h^6   B2/n:c2 = B112/n    B 1 1 2/n  -B 2bc           8
  15:c3     C2h^6   I2/b:c3 = I112/b    I 1 1 2/b  -I 2b            8
  15:-c1    C2h^6   B2/b:-c1 = B112/b   B 1 1 2/b  -B 2b            8
  15:-c2    C2h^6   A2/n:-c2 = A112/n   A 1 1 2/n  -A 2ac           8
  15:-c3    C2h^6   I2/a:-c3 = I112/a   I 1 1 2/a  -I 2a            8
  15:a1     C2h^6   B2/b:a1 = B2/b11    B 2/b 1 1  -B 2xb           8
  15:a2     C2h^6   C2/n:a2 = C2/n11    C 2/n 1 1  -C 2xbc          8
  15:a3     C2h^6   I2/c:a3 = I2/c11    I 2/c 1 1  -I 2xc           8
  15:-a1    C2h^6   C2/c:-a1 = C2/c11   C 2/c 1 1  -C 2xc           8
  15:-a2    C2h^6   B2/n:-a2 = B2/n11   B 2/n 1 1  -B 2xbc          8
